year,month,total_trips,avg_trip_distance,fare_amount_sum,extra_sum,tip_amount_sum,payment_type_1_count,payment_type_2_count,payment_type_3_count,payment_type_4_count,payment_type_5_count,payment_type_0_count
2017,10,9458514,2.449996403240505,113417294.77999985,3026999.1499999976,16096216.149999995,6425542,2969503,49104,14365,,
2017,11,8997821,2.3988513552336763,106438843.83000007,2783359.1500000004,15347289.869999982,6128827,2810799,45560,12635,,
2017,12,9225041,2.361832478576516,107626333.3,2890285.3999999953,15170321.449999997,6106058,3054465,50778,13740,,
2018,01,8760682,2.782185293336753,107265515.17999984,2844490.099999996,15933579.200000001,6106415,2599212,43203,11852,,
2018,02,8249150,2.313475248965044,90760556.4799999,2630813.1600000015,13632957.230000006,5809262,2387726,40982,11180,,
2018,03,9138254,2.362185730446974,103464380.90999994,2967352.1899999953,15168251.349999981,6344405,2731907,48893,13049,,
2018,04,9011324,2.421688343466507,104758212.5999998,2917933.3700000043,15275955.899999995,6255355,2694779,48804,12386,,
2018,05,8920259,2.479613447322551,106797023.87999976,2893493.469999998,15420265.37,6169952,2689114,48083,13110,,
2018,06,8429739,2.479457081648675,99857452.41999975,2750731.849999998,14454987.660000011,5841248,2530018,45463,13010,,
2018,07,7817858,2.906202131069658,101809157.77999999,2601886.97,14046788.719999993,5294952,2469568,40789,12034,,515.0
2018,08,7669941,2.6212712183835554,93896800.98999996,2628200.9600000014,12969689.20999999,5206176,2408177,38950,11983,1.0,4654.0
2018,09,7775179,2.4608116996406113,93302928.50999995,2451815.4100000034,13378372.680000009,5417417,2300844,38669,11613,,6636.0
2018,10,8536296,2.449657500161664,103352265.87,2805956.4299999983,14972308.169999983,6006909,2464117,42423,12669,1.0,10177.0
2018,11,7886288,2.4013560828617977,94686631.5399999,2411909.3300000057,13715702.280000007,5518998,2308908,38538,11915,1.0,7928.0
2018,12,7932057,2.3941452425266223,94466704.33999999,2511251.7900000033,13367993.569999995,5405847,2457029,38561,13407,,17213.0
2019,01,7447901,2.306449231803697,83009896.70000009,2426136.520000004,12224870.219999997,5301816,2081496,32012,10740,,21837.0
2019,02,6816340,2.382428025890726,78119356.11999997,7931751.189999963,13440077.08999999,5010084,1737439,33705,12150,,22962.0
2019,03,7594402,2.459635112810729,89729685.82999998,9163632.509999972,15388092.390000002,5518258,1997337,38041,14191,30.0,26545.0
2019,04,7213395,2.4661922298723407,85449789.99999997,8776616.939999979,14478049.650000019,5169455,1959736,36890,13355,,33959.0
2019,05,7325788,2.4786329511582905,88023287.06999995,8723926.169999968,14947956.129999993,5260330,1985315,39243,14667,,26233.0
2019,06,6971294,3.1010238041890057,95914061.01000002,8153394.859999968,15725044.949999996,4983268,1903248,38339,15692,,30747.0
2019,07,6081679,2.5114416084768667,73156477.31,7049087.149999958,12017041.940000014,4262039,1742997,34317,14635,,27691.0
2019,08,5853086,2.560808166837116,70837862.95000003,6772140.619999961,11475922.050000008,4063642,1711435,34741,15429,1.0,27838.0
2019,09,6326998,2.4830148168215023,77414811.80000001,7249350.609999962,13041232.559999997,4553681,1693201,36384,15646,,28086.0
2019,10,6956413,2.4326189229995414,84204906.05000009,7976158.599999965,14413834.63000001,5032773,1828929,38504,17375,,38832.0
2019,11,6865092,2.9091946123955825,91063300.05000004,7617928.88999996,15398855.749999994,4972530,1796151,36649,18231,1.0,41530.0
2019,12,6892663,2.9785837505765222,93531676.83000004,7635288.449999953,15472527.670000022,4875686,1912010,37073,20136,1.0,47757.0
2020,01,6402667,2.901182655602733,81228266.57000013,7137882.459999964,14022727.879999995,4694887,1593829,32770,18065,1.0,63115.0
2020,02,6299353,2.830204921045063,79413216.63000001,6983951.13999997,13988783.770000005,4705730,1494464,32081,18249,,48829.0
2020,03,3007679,2.8852973605228467,38190337.38999999,3749970.3499999996,6432176.550000003,2211073,732096,17048,9662,,37800.0
2020,04,238069,3.011138703485124,2777953.77,254065.80000000005,364231.07999999996,131157,83039,2911,1386,,19576.0
2020,05,348394,3.6978677876197636,5205487.920000001,333255.12999999995,497493.77,174394,109450,3937,1732,,58881.0
2020,06,549792,3.3547413931086667,7480757.91,562909.0500000003,969196.2999999998,322582,168952,5257,2275,12.0,50714.0
2020,07,800403,3.139104938387287,10755939.770000001,803377.5700000001,1432042.1400000004,491001,236433,6819,3312,,62838.0
2020,08,1007266,3.0648295286448675,13414206.09,945649.1200000005,1846773.4799999995,637213,286911,7727,4193,1.0,71221.0
2020,09,1340992,2.8287129602562873,16430661.449999992,1287505.9300000016,2584812.7099999995,893995,343254,8540,5046,,90157.0
